Haro     Harold
Harp     Harpy
Hast     Hastings
Hatf     Hatfield
Hath     Hathaway
Haug     Haugen
Haus     Hausdorff
Hava     Havana
Havi     Havilland
Hawk     Hawkins
Hawl     Hawley
Hawt     Hawthorne
Haye     Hayes
Hayn     Haynes
Hays     Hays
Hayw     Hayward
Hear     Hearst
Heat     Heathkit
Hebe     Hebe
Heca     Hecate
Heck     Heckman
Hecu     Hecuba
Hege     Hegelian
Heid     Heidelberg
Heis     Heisenberg
Helg     Helga
Hell     Hellenic
Hels     Helsinki
Helv     Helvetica
Hemi     Hemingway
Hemp     Hempstead
Henl     Henley
Hepb     Hepburn
Herb     Herbert
Here     Hereford
Herk     Herkimer
Hern     Hernandez
Hero     Herodotus
Herr     Herr
Hert     Hertzog
Hesp     Hesperus
Hest     Hester
Hetm     Hetman
Heub     Heublein
Hewe     Hewett
Hewi     Hewitt
Hewl     Hewlett
Hiat     Hiatt
Hiaw     Hiawatha
Hibb     Hibbard
Hibe     Hibernia
Hier     Hieronymus
Higg     Higgins
Hilb     Hilbert
Hild     Hildebrand
Hilt     Hilton
Hima     Himalaya
Hine     Hines
Hinm     Hinman
Hira     Hiram
Hirs     Hirsch
Hisp     Hispanic
Hita     Hitachi
Hitc     Hitchcock
Hitl     Hitler
Hoag     Hoagland
Hoba     Hobart
Hobo     Hoboken
Hoka     Hokan
Holb     Holbrook
Holc     Holcomb
Holo     Holocene
Holy     Holyoke
Home     Homeric
Hone     Honeywell
Hono     Honolulu
Hons     Honshu
Hoos     Hoosier
Hoov     Hoover
Horn     Hornblower
Horo     Horowitz
Hort     Horton
Horu     Horus
Houg     Houghton
Hous     Houston
Howa     Howard
Hoyt     Hoyt
Hrot     Hrothgar
Huds     Hudson
Huff     Huffman
Hugg     Huggins
Hugo     Hugo
Humb     Humboldt
Humm     Hummel
Hump     Humphrey
Hurd     Hurd
Huro     Huron
Hurs     Hurst
Hurw     Hurwitz
Hust     Huston
Huxl     Huxley
Huxt     Huxtable
Hyad     Hyades
Hyan     Hyannis
Hyde     Hyde
Hyma     Hyman
I'll     I'll
I've     I've
IEEE     IEEE
IT&T     IT&T
Iber     Iberia
Icar     Icarus
Idah     Idaho
Ifni     Ifni
Igor     Igor
Ilia     Iliad
Illi     Illinois
Ilon     Ilona
Ilyu     Ilyushin
Imbr     Imbrium
Inca     Inca
Info     Informatica
Inge     Ingersoll
Ingr     Ingram
Inju     Injun
Inma     Inman
Inte     Interpol
Into     McIntosh
Inty     McIntyre
Inve     Inverness
Iowa     Iowa
Iraq     Iraq
Irel     Ireland
Iren     Irene
Irma     Irma
Iroq     Iroquois
Irra     Irrawaddy
Irwi     Irwin
Isad     Isadore
Isai     Isaiah
Isfa     Isfahan
Isin     Ising
Isis     Isis
Isol     Isolde
Ista     Istanbul
Istv     Istvan
Itha     Ithaca
Iver     Iverson
Izve     Izvestia
JACM     JACM
Jabl     Jablonsky
Jaeg     Jaeger
Jaim     Jaime
Jaka     Jakarta
Jake     Jake
Jama     Jamaica
Jani     Janice
Jano     Janos
Jans     Jansenist
Jarv     Jarvin
Jaso     Jason
Java     Java
Jean     Jeannie
Jeho     Jehovah
Jenk     Jenkins
Jens     Jensen
Jeri     Jericho
Jeru     Jerusalem
